frame,source_path,raw_markers,raw_charuco_corners,perspective_markers,perspective_charuco_corners,selected_source,selected_markers,selected_charuco_corners,gain_over_raw,useful_for_calibration,selected_detection_image,selected_rectified_image
frame_001260,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001260.jpg,6,2,5,0,raw,6,2,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001260_selected_raw_detection.jpg,
frame_001290,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001290.jpg,2,0,3,1,perspective,3,1,1,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001290_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_001290_perspective_selected_rectified.jpg
frame_001320,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001320.jpg,0,0,0,0,raw,0,0,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001320_selected_raw_detection.jpg,
frame_001350,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001350.jpg,1,0,2,0,raw,1,0,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001350_selected_raw_detection.jpg,
frame_001380,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001380.jpg,3,1,2,0,raw,3,1,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001380_selected_raw_detection.jpg,
frame_001410,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001410.jpg,3,1,2,0,raw,3,1,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001410_selected_raw_detection.jpg,
frame_001440,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001440.jpg,3,1,1,0,raw,3,1,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001440_selected_raw_detection.jpg,
frame_001470,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001470.jpg,2,0,2,0,raw,2,0,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001470_selected_raw_detection.jpg,
frame_001500,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001500.jpg,2,0,3,1,perspective,3,1,1,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001500_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_001500_perspective_selected_rectified.jpg
frame_001530,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001530.jpg,2,0,1,0,raw,2,0,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001530_selected_raw_detection.jpg,
frame_001560,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001560.jpg,1,0,1,0,raw,1,0,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001560_selected_raw_detection.jpg,
frame_001590,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001590.jpg,3,1,1,0,raw,3,1,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001590_selected_raw_detection.jpg,
frame_001620,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001620.jpg,2,1,1,0,raw,2,1,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001620_selected_raw_detection.jpg,
frame_001650,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001650.jpg,4,2,2,0,raw,4,2,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001650_selected_raw_detection.jpg,
frame_001680,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001680.jpg,2,1,2,0,raw,2,1,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001680_selected_raw_detection.jpg,
frame_001710,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001710.jpg,4,2,2,0,raw,4,2,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001710_selected_raw_detection.jpg,
frame_001740,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001740.jpg,1,0,1,0,raw,1,0,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001740_selected_raw_detection.jpg,
frame_001770,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001770.jpg,1,0,0,0,raw,1,0,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001770_selected_raw_detection.jpg,
frame_001800,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001800.jpg,0,0,0,0,raw,0,0,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001800_selected_raw_detection.jpg,
frame_001830,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001830.jpg,2,1,1,0,raw,2,1,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001830_selected_raw_detection.jpg,
frame_001860,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001860.jpg,4,3,3,0,raw,4,3,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001860_selected_raw_detection.jpg,
frame_001890,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001890.jpg,4,3,3,2,raw,4,3,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001890_selected_raw_detection.jpg,
frame_001920,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001920.jpg,3,1,3,0,raw,3,1,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001920_selected_raw_detection.jpg,
frame_001950,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001950.jpg,4,2,4,1,raw,4,2,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001950_selected_raw_detection.jpg,
frame_001980,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001980.jpg,4,3,4,2,raw,4,3,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001980_selected_raw_detection.jpg,
frame_002010,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002010.jpg,5,2,5,3,perspective,5,3,1,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002010_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002010_perspective_selected_rectified.jpg
frame_002040,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002040.jpg,5,2,4,0,raw,5,2,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002040_selected_raw_detection.jpg,
frame_002070,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002070.jpg,3,2,4,0,raw,3,2,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002070_selected_raw_detection.jpg,
frame_002100,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002100.jpg,6,2,3,0,raw,6,2,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002100_selected_raw_detection.jpg,
frame_002130,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002130.jpg,5,2,5,2,raw,5,2,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002130_selected_raw_detection.jpg,
frame_002160,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002160.jpg,3,2,4,2,raw,3,2,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002160_selected_raw_detection.jpg,
frame_002190,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002190.jpg,3,2,2,0,raw,3,2,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002190_selected_raw_detection.jpg,
frame_002220,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002220.jpg,5,3,6,2,raw,5,3,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002220_selected_raw_detection.jpg,
frame_002250,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002250.jpg,4,2,5,3,perspective,5,3,1,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002250_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002250_perspective_selected_rectified.jpg
frame_002280,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002280.jpg,6,4,8,4,raw,6,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002280_selected_raw_detection.jpg,
frame_002310,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002310.jpg,5,2,3,0,raw,5,2,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002310_selected_raw_detection.jpg,
frame_002340,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002340.jpg,4,2,5,4,perspective,5,4,2,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002340_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002340_perspective_selected_rectified.jpg
frame_002370,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002370.jpg,3,0,3,1,perspective,3,1,1,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002370_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002370_perspective_selected_rectified.jpg
frame_002400,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002400.jpg,3,0,3,1,perspective,3,1,1,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002400_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002400_perspective_selected_rectified.jpg
frame_002430,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002430.jpg,4,2,6,2,raw,4,2,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002430_selected_raw_detection.jpg,
frame_002460,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002460.jpg,4,2,6,2,raw,4,2,0,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002460_selected_raw_detection.jpg,
frame_002490,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002490.jpg,2,0,6,4,perspective,6,4,4,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002490_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002490_perspective_selected_rectified.jpg
frame_002520,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002520.jpg,3,0,3,1,perspective,3,1,1,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002520_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002520_perspective_selected_rectified.jpg
frame_002550,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002550.jpg,3,1,5,2,perspective,5,2,1,False,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002550_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002550_perspective_selected_rectified.jpg
frame_002580,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002580.jpg,7,2,9,4,perspective,9,4,2,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002580_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002580_perspective_selected_rectified.jpg
