frame,source_path,raw_markers,raw_charuco_corners,perspective_markers,perspective_charuco_corners,marker_gain,charuco_gain,status,raw_detection_image,perspective_image,perspective_detection_image
frame_000600,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000600.jpg,5,0,3,0,-2,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000600_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000600_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000600_perspective_best_focal_025_detection.jpg
frame_000630,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000630.jpg,3,0,3,0,0,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000630_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000630_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000630_perspective_best_focal_025_detection.jpg
frame_000660,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000660.jpg,6,3,3,0,-3,-3,worse,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000660_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000660_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000660_perspective_best_focal_025_detection.jpg
frame_000690,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000690.jpg,3,0,3,0,0,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000690_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000690_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000690_perspective_best_focal_025_detection.jpg
frame_000720,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000720.jpg,3,0,3,0,0,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000720_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000720_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000720_perspective_best_focal_025_detection.jpg
frame_000750,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000750.jpg,3,0,4,0,1,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000750_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000750_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000750_perspective_best_focal_025_detection.jpg
frame_000780,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000780.jpg,4,0,4,0,0,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000780_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000780_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000780_perspective_best_focal_025_detection.jpg
frame_000810,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000810.jpg,0,0,0,0,0,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000810_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000810_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000810_perspective_best_focal_025_detection.jpg
frame_000840,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000840.jpg,0,0,0,0,0,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000840_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000840_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000840_perspective_best_focal_025_detection.jpg
frame_000870,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000870.jpg,0,0,0,0,0,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000870_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000870_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000870_perspective_best_focal_025_detection.jpg
