rectified_frame_path,detected_frame_path,marker_count,charuco_corner_count,marker_ids,used_for_calibration,error
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_001110_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_001110_rectified_detected.jpg,3,0,1 22 23,False,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_001140_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_001140_rectified_detected.jpg,4,0,21 22 16 23,False,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_001170_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_001170_rectified_detected.jpg,3,0,22 16 23,False,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_001230_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_001230_rectified_detected.jpg,5,1,4 1 21 22 23,False,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_002280_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_002280_rectified_detected.jpg,6,4,7 4 1 11 18 22,False,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_002670_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_002670_rectified_detected.jpg,5,4,8 22 15 12 19,False,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_002910_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_002910_rectified_detected.jpg,4,3,15 22 12 19,False,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_002940_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_002940_rectified_detected.jpg,7,5,11 18 8 15 5 22 23,False,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_002970_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_002970_rectified_detected.jpg,7,7,18 14 15 11 7 4 1,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_003000_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_003000_rectified_detected.jpg,7,6,18 11 7 8 4 0 1,True,
